symbol,average_volume
MDGL,427841.2
INDB,427378.8
GSHD,427234.9
LSTR,426852.7
VNDA,425322.22222222225
FULC,425022.1
TSL,424994.3
GOOD,424718.1
FFBC,424032.3
MGTX,423476.9
BLBD,421244.5
STRL,418694.6
TCPC,418357.7
FRME,414460.1
ATRO,413099.8
MLTX,411939.0
NWE,409827.9
PCTY,408879.1
NEOV,408589.2
SLAB,408477.9
SWIM,408066.7
ZYME,407912.4
FMFC,407702.9
MUU,404962.4
NCMI,404345.1
OMDA,403659.5
MTSI,403240.0
TRUP,403003.6
ASND,399861.4
SKWD,395142.3
KLIC,393588.4
DH,390157.3
IRON,388255.6
CVLT,385758.2
FFIV,385229.2
LOCO,382982.3
CRUS,381198.1
TREE,381135.5
ELVN,380488.1
INBS,379617.5
MCHPP,378663.2
BVS,376632.7
ATOM,376514.7
TRMK,373058.2
OSW,373037.3
CVRX,371167.5
CENTA,370697.9
ALGT,370155.55555555556
SCPH,370155.3
CSTL,369882.3
USOY,369469.5
HLNE,369223.6
NTGR,369119.5
RUSHA,368480.4
GAMB,368312.7
DSGX,368113.7
IHRT,367357.0
POWI,365372.6
SLDE,365054.4
CLPT,362655.6
CHEF,360448.1
GLDD,359513.0
PMVP,358694.6
METCB,358436.0
AVGX,353840.9
TKNO,353487.7
KRNY,350600.6
SKYX,350061.2
CAMT,347750.2
ABCB,347319.4
UTHR,347132.8
KLTR,346970.9
SBGI,345848.1
ACDC,345644.44444444444
EVER,343633.0
PLBY,343595.8
ERII,343016.3
CLLS,341518.0
WEST,340965.3
AVAH,339942.9
WW,338861.4
DXPE,336978.8
FBNC,334801.9
ARGX,334184.7
SCHL,333627.0
APPX,333253.2
API,332271.1
PN,332170.8
ZBRA,331984.6
ROOT,331051.9
SYNA,330829.6
MNDY,330526.4
OCCI,330120.4
BZFD,329423.1
LE,329364.4
ANIP,328982.6
NVMI,327529.7
PBYI,326900.9
FFIC,325538.1
NMTC,325416.7
CDZI,325069.3
ARCB,324791.6
RMNI,324355.6
CNTB,323759.9
TRS,322290.6
DYAI,321582.2
EEFT,321205.4
AIP,320826.4
RFIL,320659.9
EHTH,318848.6
NDSN,317969.1
OSPN,317346.7
LAMR,315765.9
SPWH,315081.9
TLSA,314890.5
AGYS,314479.7
MKTX,314283.8
LLYVK,312444.1
POWL,312265.9
PLMR,312198.6
MFIC,312017.1
APEI,311189.7
PNTG,309862.1
TILE,308210.4
LGO,306613.3
CGEN,305916.8
SIGA,304760.0
IRTC,304438.1
DNTH,303613.8
BHFAN,303085.4
INTZ,302931.4
WSFS,302133.9
CNOB,301945.7
DCOM,300975.9
IIIV,299265.2
SHEN,298848.0
AEIS,298228.0
NXST,296890.1
RDWR,295088.9
VOXR,294621.4
UFPI,294583.7
FCFS,294466.1
MORN,294251.5
BOKF,293609.0
AAPB,293549.4
PHVS,293107.8
GANX,292885.3
KRUS,291123.0
RWAY,289822.5
SNEX,286993.8
THTX,285278.1
ARLP,283064.0
MIRM,282793.0
AUDC,282022.4
LECO,281548.8
