Date,NormalizedPrice,Market
2016-03-01,97.82960624117734,India
2016-04-01,98.57914643173936,India
2016-05-01,101.74860789542274,India
2016-06-01,102.81421596128465,India
2016-07-01,106.5075884500169,India
2016-08-01,107.43122081223149,India
2016-09-01,105.72343488232045,India
2016-10-01,105.66859928166858,India
2016-11-01,100.23876869095135,India
2016-12-01,99.66194151885279,India
2017-01-01,103.70180576112628,India
2017-02-01,110.41853881803146,India
2017-03-01,113.45147199502063,India
2017-04-01,116.85172877629927,India
2017-05-01,124.50991653432663,India
2017-06-01,124.11702898439816,India
2017-07-01,134.519478007713,India
2017-08-01,134.3992492291521,India
2017-09-01,131.8676085239468,India
2017-10-01,142.12377714874512,India
2017-11-01,145.20918988951559,India
2017-12-01,152.88702692058908,India
2018-01-01,158.53315935081883,India
2018-02-01,149.17060005149062,India
2018-03-01,145.17766076570427,India
2018-04-01,152.14351465125793,India
2018-05-01,152.79469864040522,India
2018-06-01,154.7249508470615,India
2018-07-01,166.65190969073788,India
2018-08-01,172.19754672833886,India
2018-09-01,161.4325810221692,India
2018-10-01,150.82779063374295,India
2018-11-01,164.5531012342176,India
2018-12-01,163.2313912756334,India
2019-01-01,165.27196168866377,India
2019-02-01,165.138827588914,India
2019-03-01,175.45649479449432,India
2019-04-01,178.3392395555423,India
2019-05-01,183.0450782546939,India
2019-06-01,182.61524283650527,India
2019-07-01,170.56159535492327,India
2019-08-01,173.99145490346848,India
2019-09-01,182.5389587692385,India
2019-10-01,193.1408469057657,India
2019-11-01,193.95862067271634,India
2019-12-01,195.81524029462648,India
2020-01-01,192.39634575468278,India
2020-02-01,185.35012448736867,India
2020-03-01,147.05702638384884,India
2020-04-01,168.08403191752097,India
2020-05-01,165.21321888665844,India
2020-06-01,177.85050574521875,India
2020-07-01,194.9627932749898,India
2020-08-01,198.4917806435375,India
2020-09-01,199.41182611233125,India
2020-10-01,203.38278847936294,India
2020-11-01,215.52928701217917,India
2020-12-01,232.9400316854404,India
2021-01-01,231.66400613970208,India
2021-02-01,240.553348030467,India
2021-03-01,243.58288491876246,India
2021-04-01,237.13340521373385,India
2021-05-01,251.81807301806293,India
2021-06-01,255.4796804201701,India
2021-07-01,253.1637543860088,India
2021-08-01,280.95154446734665,India
2021-09-01,284.43480623093336,India
2021-10-01,280.7000190195222,India
2021-11-01,271.3225170229365,India
2021-12-01,279.4173848984635,India
2022-01-01,286.6579727055956,India
2022-02-01,272.6685710512595,India
2022-03-01,281.97300643698804,India
2022-04-01,275.956638321583,India
2022-05-01,269.8519309670365,India
2022-06-01,262.6536623951534,India
2022-07-01,279.47186476295974,India
2022-08-01,285.6577986074063,India
2022-09-01,275.1879510259681,India
2022-10-01,292.6291500334845,India
2022-11-01,308.0019389879336,India
2022-12-01,292.31683529495115,India
2023-01-01,287.26652703881837,India
2023-02-01,281.0163548783895,India
2023-03-01,281.94738732099734,India
2023-04-01,287.4631618411034,India
2023-05-01,293.9591491465409,India
2023-06-01,305.0834647985091,India
2023-07-01,314.8262690474528,India
2023-08-01,306.7989403737844,India
2023-09-01,314.14478386422775,India
2023-10-01,305.24886442238176,India
2023-11-01,320.4188246582511,India
2023-12-01,341.2961368914772,India
2024-01-01,347.9173173975605,India
2024-02-01,353.8274852952626,India
2024-03-01,359.62569013357046,India
2024-04-01,362.2113524003815,India
2024-05-01,360.6389708437303,India
2024-06-01,382.6541051014998,India
2024-07-01,396.6926194695298,India
2024-08-01,402.22845572445124,India
2024-09-01,408.2599590428602,India
2024-10-01,380.08142533507714,India
2024-11-01,385.0761622090878,India
2024-12-01,370.5658527345116,India
2025-01-01,375.6232472506705,India
2025-02-01,352.80071270777825,India
2025-03-01,372.26601127803434,India
